date,commute,alertness,completion,diet,homework,calendar,sleep
2020-03-08,4,5,3,3,3,3,3
2020-03-09,5,4,5,4,3,4,2
2020-03-10,4,3,2,4,3,3,1
2020-03-11,4,3,2,4,3,3,2
2020-03-12,5,2,2,1,4,2,4
2020-03-13,-7,4,2,1,2,2,1
2020-03-14,-7,5,1,2,2,1,5
2020-03-29,-7,5,1,1,1,1,5
2020-03-30,-7,4,1,2,1,1,5
2020-03-31,-7,3,1,2,3,2,5
2020-04-01,-7,3,3,3,2,3,5
2020-04-02,-7,4,3,2,3,3,5
2020-04-03,-7,3,2,1,1,1,3
2020-04-04,-7,3,2,1,1,1,3
2020-04-05,-7,2,1,1,1,1,3
2020-04-06,-7,4,2,4,2,2,4
2020-04-07,-7,3,3,4,4,4,4
2020-04-08,-7,4,2,2,1,1,5
2020-04-09,-7,3,1,1,2,1,5
2020-04-10,-7,2,2,2,3,2,3
2020-04-11,-7,4,1,1,2,1,2
2020-04-12,-7,1,3,3,1,2,4
2020-04-13,-7,3,1,2,3,4,4
2020-04-14,-7,4,3,1,2,2,5
2020-04-15,-7,2,2,2,3,3,5
2020-04-16,-7,3,1,3,4,1,2
2020-04-17,-7,4,3,2,2,2,4
2020-04-18,-7,1,2,4,1,1,5
2020-04-19,-7,4,3,1,3,1,3
2020-04-20,-7,5,3,1,3,2,5
2020-04-21,-7,4,2,3,1,2,4
2020-04-22,-7,5,3,3,2,3,4
2020-04-23,-7,5,4,3,3,2,5
2020-04-24,-7,4,3,2,2,3,5
2020-04-25,-7,4,2,2,3,2,5
2020-04-26,-7,2,1,1,1,1,3
2020-04-27,-7,2,1,1,1,1,3
2020-04-28,-7,5,3,1,3,1,5
2020-04-29,-7,4,3,4,3,2,5
2020-04-30,-7,3,3,2,2,2,4
2020-05-01,-7,5,2,3,1,1,5
2020-05-02,-7,5,3,4,4,1,3
